,Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
257656,932,6087,1373,1163639000,14.739,1184.1589999999999,2230820.63,1376644.486,15.6,7.0,2,27.7,4.32,0,101,214,3,0,2,1,0,0,0.0,0.0
257780,932,6211,1373,1163651400,19.748,1588.119,2230854.4080000003,1377049.418,15.6,7.0,2,29.3,-12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
258280,932,6711,1373,1163701400,16.215,1974.5120000000002,2230820.486,1377436.2859999998,15.6,7.0,2,25.19,-2.0,0,101,214,5,0,2,1,0,0,0.0,0.0
258412,945,5455,1332,1163575800,12.056,142.6,2230528.601,1375673.894,15.5,7.0,2,38.4,-10.02,0,101,214,1,0,2,1,0,0,0.0,0.0
258602,945,5645,1332,1163594800,6.681,650.378,2230576.369,1376179.4419999998,15.5,7.0,2,37.11,-5.16,0,101,214,2,0,2,1,0,0,0.0,0.0
259064,945,6107,1332,1163641000,13.055,1184.1789999999999,2230819.089,1376645.169,15.5,7.0,2,23.34,2.01,0,101,214,3,0,2,1,0,0,0.0,0.0
259232,945,6275,1332,1163657800,17.854,1587.882,2230852.066,1377049.06,15.5,7.0,2,9.68,11.27,0,101,214,4,0,2,1,0,0,0.0,0.0
259688,945,6731,1332,1163703400,15.356,1976.2279999999998,2230819.398,1377437.861,15.5,7.0,2,27.73,-5.35,0,101,214,5,0,2,1,0,0,0.0,0.0
260468,951,5532,1276,1163583500,14.136,144.201,2230530.919,1375675.146,16.0,7.0,2,41.25,-10.02,0,101,214,1,0,2,1,0,0,0.0,0.0
260609,951,5673,1276,1163597600,4.421,650.245,2230574.11,1376179.6930000002,16.0,7.0,2,35.37,-4.58,0,101,214,2,0,2,1,0,0,0.0,0.0
261068,951,6132,1276,1163643500,15.203,1184.876,2230821.34,1376644.9840000002,16.0,7.0,2,25.17,2.58,0,101,214,3,0,2,1,0,0,0.0,0.0
261276,951,6340,1276,1163664300,16.865,1587.8529999999998,2230851.083,1377049.122,16.0,7.0,2,7.54,5.16,0,101,214,4,0,2,1,0,0,0.0,0.0
261692,951,6756,1276,1163705900,15.790999999999999,1976.444,2230819.799,1377438.1409999998,16.0,7.0,2,25.42,-2.0,0,101,214,5,0,2,1,0,0,0.0,0.0
263275,958,6202,1214,1163650500,23.46,143.74200000000002,2230539.9869999997,1375672.739,17.1,7.0,2,19.36,8.41,0,101,214,1,0,2,1,0,0,0.0,0.0
263466,958,6393,1214,1163669600,14.834000000000001,649.77,2230584.3,1376177.4840000002,17.1,7.0,2,20.77,2.64,0,101,214,2,0,2,1,0,0,0.0,0.0
263620,958,6547,1214,1163685000,26.191,1187.1789999999999,2230832.373,1376642.881,17.1,7.0,2,40.0,-4.53,0,101,214,3,0,2,1,0,0,0.0,0.0
263725,958,6652,1214,1163695500,29.568,1590.1129999999998,2230863.973,1377051.5890000002,17.1,7.0,2,35.11,-2.57,0,101,214,4,0,2,1,0,0,0.0,0.0
263828,958,6755,1214,1163705800,27.715,1968.912,2230832.701,1377432.044,17.1,7.0,2,38.53,11.48,0,101,214,5,0,2,1,0,0,0.0,0.0
264430,961,5597,959,1163590000,-22.149,2064.101,2230768.93,1377519.209,15.0,7.0,2,19.43,0.0,2,114,201,5,0,4,1,960,0,540.4,27.81
264564,961,5731,959,1163603400,-12.962,1652.431,2230820.266,1377113.084,15.0,7.0,2,42.15,11.62,0,114,201,4,0,4,1,0,0,0.0,0.0
264703,961,5870,959,1163617300,-23.019000000000002,1244.983,2230806.2290000003,1376710.876,15.0,7.0,2,22.55,12.27,0,114,201,3,0,4,1,0,0,0.0,0.0
265212,961,6379,959,1163668200,-11.214,777.065,2230582.2169999997,1376308.6430000002,15.0,7.0,2,7.04,12.27,0,114,201,2,0,4,1,0,0,0.0,0.0
265357,961,6524,959,1163682700,-14.198,230.794,2230518.188,1375765.112,15.0,7.0,2,45.88,-10.02,0,114,201,1,0,4,1,0,0,0.0,0.0
265389,962,5607,941,1163591000,-8.91,2054.476,2230783.486,1377511.7230000002,16.0,7.0,2,33.03,0.0,1,114,202,5,0,4,1,960,0,544.88,16.5
265496,962,5714,941,1163601700,-4.047,1651.099,2230829.215,1377111.986,16.0,7.0,2,41.87,-0.64,0,114,202,4,0,4,1,0,0,0.0,0.0
265654,962,5872,941,1163617500,-12.966,1241.124,2230815.684,1376705.856,16.0,7.0,2,17.56,11.41,0,114,202,3,0,4,1,0,0,0.0,0.0
265887,962,6105,941,1163640800,-13.777000000000001,777.3530000000001,2230580.147,1376310.2380000001,16.0,7.0,2,0.31,2.78,0,114,202,2,0,4,1,0,0,0.0,0.0
266302,962,6520,941,1163682300,0.685,235.128,2230533.624,1375766.8969999999,16.0,7.0,2,31.25,4.85,0,114,202,1,0,4,2,0,0,0.0,0.0
266463,966,5647,955,1163595000,-10.252,2057.827,2230781.647,1377514.8290000001,15.3,7.0,2,35.04,0.0,1,114,202,5,0,4,1,964,0,76.24,2.18
266573,966,5757,955,1163606000,-3.247,1648.1370000000002,2230830.06,1377109.0280000002,15.3,7.0,2,43.13,2.85,0,114,202,4,0,4,1,0,0,0.0,0.0
266794,966,5978,955,1163628100,-13.380999999999998,1239.515,2230815.62,1376705.246,15.3,7.0,2,24.74,-10.02,0,114,202,3,0,4,1,0,0,0.0,0.0
267140,966,6324,955,1163662700,-4.253,777.3539999999999,2230589.121,1376306.898,15.3,7.0,2,0.08,0.0,0,114,202,2,0,4,1,0,0,0.0,0.0
267373,966,6557,955,1163686000,-4.377,233.52700000000002,2230528.3619999997,1375766.219,15.3,7.0,2,18.66,-6.41,0,114,202,1,0,4,2,0,0,0.0,0.0
267614,970,5677,1095,1163598000,3.4139999999999997,218.8,2230533.424,1375750.226,17.1,7.0,2,22.43,10.02,0,123,214,1,0,2,2,0,0,0.0,0.0
268282,970,6345,1095,1163664800,14.125,648.406,2230583.376,1376176.4780000001,17.1,7.0,2,4.01,4.92,0,123,214,2,0,2,1,0,0,0.0,0.0
268465,970,6528,1095,1163683100,23.871,1185.72,2230829.663,1376642.379,17.1,7.0,2,36.09,5.39,0,123,214,3,0,2,1,0,0,0.0,0.0
268571,970,6634,1095,1163693700,29.445,1590.759,2230863.6859999998,1377051.8869999999,17.1,7.0,2,33.78,12.27,0,123,214,4,0,2,1,0,0,0.0,0.0
